20260603110950,10.0.0.10,34441,192.168.70.135,5001,1,0.0-1.0,1310780,10486240
20260603110951,10.0.0.10,34441,192.168.70.135,5001,1,1.0-2.0,2621440,20971520
20260603110952,10.0.0.10,34441,192.168.70.135,5001,1,2.0-3.0,3276800,26214400
20260603110953,10.0.0.10,34441,192.168.70.135,5001,1,3.0-4.0,2359296,18874368
20260603110954,10.0.0.10,34441,192.168.70.135,5001,1,4.0-5.0,3145728,25165824
20260603110955,10.0.0.10,34441,192.168.70.135,5001,1,5.0-6.0,3801088,30408704
20260603110956,10.0.0.10,34441,192.168.70.135,5001,1,6.0-7.0,2530000,20240000
20260603110957,10.0.0.10,34441,192.168.70.135,5001,1,7.0-8.0,2410920,19287360
20260603110958,10.0.0.10,34441,192.168.70.135,5001,1,8.0-9.0,1106968,8855744
20260603110959,10.0.0.10,34441,192.168.70.135,5001,1,9.0-10.0,2476832,19814656
20260603111000,10.0.0.10,34441,192.168.70.135,5001,1,10.0-11.0,2279848,18238784
20260603111001,10.0.0.10,34441,192.168.70.135,5001,1,11.0-12.0,2476832,19814656
20260603111002,10.0.0.10,34441,192.168.70.135,5001,1,12.0-13.0,2410920,19287360
20260603111003,10.0.0.10,34441,192.168.70.135,5001,1,13.0-14.0,2410920,19287360
20260603111004,10.0.0.10,34441,192.168.70.135,5001,1,14.0-15.0,2279848,18238784
20260603111005,10.0.0.10,34441,192.168.70.135,5001,1,15.0-16.0,2410920,19287360
20260603111006,10.0.0.10,34441,192.168.70.135,5001,1,16.0-17.0,2280600,18244800
20260603111007,10.0.0.10,34441,192.168.70.135,5001,1,17.0-18.0,2323344,18586752
20260603111008,10.0.0.10,34441,192.168.70.135,5001,1,18.0-19.0,2485048,19880384
20260603111009,10.0.0.10,34441,192.168.70.135,5001,1,19.0-20.0,2968736,23749888
20260603111010,10.0.0.10,34441,192.168.70.135,5001,1,20.0-21.0,2698448,21587584
20260603111011,10.0.0.10,34441,192.168.70.135,5001,1,21.0-22.0,804920,6439360
20260603111012,10.0.0.10,34441,192.168.70.135,5001,1,22.0-23.0,3750296,30002368
20260603111013,10.0.0.10,34441,192.168.70.135,5001,1,23.0-24.0,1085080,8680640
20260603111014,10.0.0.10,34441,192.168.70.135,5001,1,24.0-25.0,3949256,31594048
20260603111015,10.0.0.10,34441,192.168.70.135,5001,1,25.0-26.0,2810792,22486336
20260603111016,10.0.0.10,34441,192.168.70.135,5001,1,26.0-27.0,2446200,19569600
20260603111017,10.0.0.10,34441,192.168.70.135,5001,1,27.0-28.0,2345008,18760064
20260603111018,10.0.0.10,34441,192.168.70.135,5001,1,28.0-29.0,2541992,20335936
20260603111019,10.0.0.10,34441,192.168.70.135,5001,1,29.0-30.0,1106968,8855744
20260603111020,10.0.0.10,34441,192.168.70.135,5001,1,30.0-31.0,2410920,19287360
20260603111021,10.0.0.10,34441,192.168.70.135,5001,1,31.0-32.0,2541992,20335936
20260603111022,10.0.0.10,34441,192.168.70.135,5001,1,32.0-33.0,2345008,18760064
20260603111023,10.0.0.10,34441,192.168.70.135,5001,1,33.0-34.0,2541992,20335936
20260603111024,10.0.0.10,34441,192.168.70.135,5001,1,34.0-35.0,2345008,18760064
20260603111025,10.0.0.10,34441,192.168.70.135,5001,1,35.0-36.0,2541992,20335936
20260603111026,10.0.0.10,34441,192.168.70.135,5001,1,36.0-37.0,2476080,19808640
20260603111027,10.0.0.10,34441,192.168.70.135,5001,1,37.0-38.0,2410920,19287360
20260603111028,10.0.0.10,34441,192.168.70.135,5001,1,38.0-39.0,2410920,19287360
20260603111029,10.0.0.10,34441,192.168.70.135,5001,1,39.0-40.0,2476080,19808640
20260603111030,10.0.0.10,34441,192.168.70.135,5001,1,40.0-41.0,2410920,19287360
20260603111031,10.0.0.10,34441,192.168.70.135,5001,1,41.0-42.0,2345008,18760064
20260603111032,10.0.0.10,34441,192.168.70.135,5001,1,42.0-43.0,2410920,19287360
20260603111033,10.0.0.10,34441,192.168.70.135,5001,1,43.0-44.0,2526064,20208512
20260603111034,10.0.0.10,34441,192.168.70.135,5001,1,44.0-45.0,2316800,18534400
20260603111035,10.0.0.10,34441,192.168.70.135,5001,1,45.0-46.0,2531160,20249280
20260603111036,10.0.0.10,34441,192.168.70.135,5001,1,46.0-47.0,2387280,19098240
20260603111037,10.0.0.10,34441,192.168.70.135,5001,1,47.0-48.0,2359296,18874368
20260603111038,10.0.0.10,34441,192.168.70.135,5001,1,48.0-49.0,2359296,18874368
20260603111039,10.0.0.10,34441,192.168.70.135,5001,1,49.0-50.0,2823432,22587456
20260603111040,10.0.0.10,34441,192.168.70.135,5001,1,50.0-51.0,1562864,12502912
20260603111041,10.0.0.10,34441,192.168.70.135,5001,1,51.0-52.0,3367912,26943296
20260603111042,10.0.0.10,34441,192.168.70.135,5001,1,52.0-53.0,1737904,13903232
20260603111043,10.0.0.10,34441,192.168.70.135,5001,1,53.0-54.0,2749504,21996032
