20260602203204,10.0.0.4,50511,192.168.70.135,5001,1,0.0-1.0,1311240,10489920,0.000,0,892,0.000,0
20260602203205,10.0.0.4,50511,192.168.70.135,5001,1,1.0-2.0,1311240,10489920,0.000,0,892,0.000,0
20260602203206,10.0.0.4,50511,192.168.70.135,5001,1,2.0-3.0,1311240,10489920,0.000,0,892,0.000,0
20260602203207,10.0.0.4,50511,192.168.70.135,5001,1,3.0-4.0,1311240,10489920,0.000,0,892,0.000,0
20260602203208,10.0.0.4,50511,192.168.70.135,5001,1,4.0-5.0,1311240,10489920,0.000,0,892,0.000,0
20260602203209,10.0.0.4,50511,192.168.70.135,5001,1,5.0-6.0,1309770,10478160,0.000,0,891,0.000,0
20260602203210,10.0.0.4,50511,192.168.70.135,5001,1,6.0-7.0,1311240,10489920,0.000,0,892,0.000,0
20260602203211,10.0.0.4,50511,192.168.70.135,5001,1,7.0-8.0,1309770,10478160,0.000,0,891,0.000,0
20260602203212,10.0.0.4,50511,192.168.70.135,5001,1,8.0-9.0,1311240,10489920,0.000,0,892,0.000,0
20260602203213,10.0.0.4,50511,192.168.70.135,5001,1,9.0-10.0,1311240,10489920,0.000,0,892,0.000,0
20260602203213,10.0.0.4,50511,192.168.70.135,5001,1,0.0-10.0,13112400,10486618,0.000,0,-1,-0.000,0
